Name,Ticker,"Sub-Sector","Market Cap","1Y Return vs Nifty","6M Return","1M Return","1M Return vs Nifty","% Away From 52W High","% Away From 52W Low","1Y Return","5Y CAGR","6M Return vs Nifty","Daily Volume","Face value","Close Price","1D Return","1W Return","1W Return vs Nifty","1D Change in Volume","1M Average Volume","1W Change in Volume","3M Average Volume"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1651934.01878253","4.342546470259603","5.184816634533664","-5.698461080960514","-1.4968277382401576","12.584256375891844","16.371559633027523","4.982412580177947","22.40433714960879","-6.507950004198538","2930338","10","2536.9","0.9088920268093279","-0.40436557788943656","0.9535241008234185","-53.43879950151894","3926021.5416666665","-12.89364262332897","4617033.63076923"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1211548.50011403","-16.290761065859975","-1.5088553246952332","-5.1338857134417335","-0.9322523707213772","25.889368062150673","9.755305697002846","-15.650894955941633","19.021197691131377","-13.201621963427435","2488376","1","3211.55","-3.006553713267486","-1.3863727085700137","-0.02848302985715856","36.27044500801453","1408455.5416666667","113.93772498540577","1661920.9846153846"
HDFC Bank Ltd,HDFCBANK,"Private Banks","892112.9969638401","2.9094113701920703","16.27347310847767","-1.0396300778946714","3.162003264825685","8.009282488710468","25.385341302296325","3.549277480110413","11.340948301950338","4.5807064697454685","4546231","1","1594.4","-0.3313121210226889","-2.0729048306359976","-0.7150151519231425","-16.89882388381196","5491972.458333333","27.655784933676276","6259766.4"
Infosys Ltd,INFY,"IT Services & Consulting","618870.75053632","-20.955632420843635","-2.8927697516173425","-10.192820385640776","-5.991187042920419","34.89126682775285","6.900369003690043","-20.31576631092529","23.41092188939595","-14.585536390349544","6443714","5","1448.5","-1.8099240780911092","-3.9583609600848724","-2.600471281372017","-34.70358530112873","6078647.875","27.332436987011672","5305709.676923077"
ICICI Bank Ltd,ICICIBANK,"Private Banks","613335.51096693","10.193838749644753","19.856739444865344","-5.695550858938921","-1.4939175162185645","10.12527295713137","35.49793661916998","10.833704859563095","22.69665446454574","8.163972806133142","14804613","2","870.1","-1.0294034010123363","-2.3292361228040637","-0.9713464440912085","-10.530986639669948","10211749.708333334","52.8056122463198","10887778.323076922"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","607063.89436294","7.098278909735403","3.1239993595901265","-2.942118249797531","1.2595150929228254","6.409982728172481","35.49209855118192","7.7381450196537465","13.688669144906097","-8.568767279142076","991782","1","2576.45","-0.28060533343654454","0.6013158665391005","1.9592055452519557","-50.6205896659834","1202712.4583333333","42.409021986353295","1313701.2153846154"
State Bank of India,SBIN,"Public Banks","540028.25602434","21.517953698908173","25.1484529638504","-1.3630018884966035","2.8386314542237527","4.811454257887293","41.32941176470588","22.157819808826517","14.414408402267398","13.455686325118197","7972036","1","600.65","-0.7354156337795481","-2.126446146325577","-0.7685564676127219","-3.269305555134245","9979260.458333334","-38.92515032105904","11642076.63076923"
Housing Development Finance Corporation Ltd,HDFC,"Home Financing","478905.56153624004","-1.5710216586895265","16.43866337743889","-3.2822920159457514","0.9193413267746049","13.012326656394468","28.13425468904245","-0.9311555487711835","8.515817807410775","4.745896738706687","1813292","2","2596","-0.9765028989929779","-1.5771913861085802","-0.21930170739572508","-37.69935658231036","2262896.5416666665","-22.650662951538823","2754619.676923077"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","465889.4401994","11.40968343963121","14.705670437351388","-4.4819103617927665","-0.2802770190724102","8.109296482412054","26.60039761431412","12.049549549549553","8.472399140069587","3.0129037986191864","3199618","5","796","-1.3752942634122194","-1.2529462845800796","0.10494339413277554","-39.59963747904848","4001767.5416666665","2.7744381020048867","4703891.969230769"
Life Insurance Corporation Of India,LICI,"Insurance","460333.33267877996","-0.6398661099183431","0.6188206842591805","8.531532913917433","12.733166256637789","29.923653329563148","20.289115646258505",,,"-11.073945954473022","1625158","10","707.3","-2.816707886782083","3.315804849547171","4.673694528260026","1.4192952512301744","3335078.4583333335","85.07811814921654","2015017.646153846"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","436597.62932058","122.59578855122228","68.25791407264008","-5.147824792896477","-0.946191450176121","9.563966790874034","150.14717425431715","123.23565466114063","81.68970198721166","56.565147433907875","912159","1","3824.25","-0.14491618361272604","-0.8837974781966361","0.47409220051621903","-8.510179477355202","1701339.25","-40.33290008091594","1945252.4615384615"
