Name,Ticker,"Sub-Sector","Market Cap","Promoter Holding Change – 3M","Promoter Holding","Retail Investor Holding","Pledged Promoter Holdings","No. of Shareholders","MF Holding Change – 3M","Insider Trades - 6M Cumulative","Mutual Fund Holding","Insider Trades - 3M Cumulative","Insider Trades - 1M Cumulative","Insurance Firms Holding","FII Holding Change – 6M","FII Holding Change – 3M","Foreign Institutional Holding","DII Holding Change – 6M","DII Holding Change – 3M","Domestic Institutional Holding","Promoter Holding Change – 6M "," MF Holding Change – 6M","Bulk Deals - 6M Cumulative","Bulk Deals - 3M Cumulative","Bulk Deals - 1M Cumulative"
Crown Lifters Ltd,CROWN,"Heavy Machinery","37.936401839999995","0","75","8.259375600384246","0","742","0",,"0",,,"0","0.00009606147934678194","0.00009606147934678194","0.00009606147934678194","0","0","0","0","0",,,
BSEL Infrastructure Realty Ltd,BSELINFRA,"Real Estate","37.921129560000004","0","16.454111534645964","49.46505337168548","0","53318","0",,"0",,,"0","0","0","0.001004637795393772","-0.09078052368016012","0","0.00022997732665640564","0","0","0.3814065025968073","0.707699544063898","0"
Tirupati Foam Ltd,TIRUFOAM,"Home Furnishing","37.85613","0","71.14331744951214","9.476106194690265","0","946","0",,"0",,,"0","0","0","0","0","0","0","0","0",,,
TTI Enterprise Ltd,TTIENT,"Diversified Financials","37.85258878","0","39.56319100666805","25.78571163713152","0","9292","0",,"0",,,"0","0","0","0","0","0","0","14.565279225797774","0","-0.40906264271629555","0","0"
Balkrishna Paper Mills Ltd,BALKRISHNA,"Paper Products","37.75055166","0","58.70427913105628","28.85496288400465","0","10884","0",,"0",,,"0","0","0","0","0.08407943355601813","0.08407943355601813","0.08433083385568729","0","0","-0.8973500918635319","-0.8973500918635319","0"
3P Land Holdings Ltd,3PLAND,"Real Estate","37.62","0","73.30087777777777","16.213744444444444","0","6236","0",,"0",,,"0","0.0001111111111111111","0.0001111111111111111","0.0001111111111111111","0","0","0.002777777777777778","0","0",,,
Sungold Media and Entertainment Ltd,SMEL,"Advertising","37.565","-0.13949090909090245","56.782909090909094","1.4545454545454546","0","42","0",,"0",,,"0",,"0","0",,"0","0",,,,,
Archana Software Ltd,SSLFINANCE,"Software Services","37.552873","0","21.611436200899995","40.67024906456558","0","6601","0",,"0",,,"0","0","0","0","0","0","0","0","0",,,
Grovy India Ltd,GROVY,"Real Estate","37.40824296","0","74.72344307849066","4.7753321765303145","26.248796433027188","200","0","21.51534301807866","0","0","0","0","0","0","0","0","0","0","0","0",,,
Axis Nifty ETF,AXISNIFTY,"Equity","37.35465305",,,,,,,,,,,,,,,,,,,,,,
Nhc Foods Ltd,NHCFOODS,"Packaged Foods & Meats","37.283975","0","42.17629692113032","30.68091944327288","0","9084","0",,"0",,,"0","0","0","0","0","0","0","0","0","0.6373344580345846","-0.0139266132433572","0.03466891606916911"
Manjeera Constructions Ltd,MANJEERA,"Real Estate","37.27508564","0","74.0987149613964","3.7861222738159213","1.5989232211459516","683","0",,"0",,,"0","0","0","0","0","0","0","0","0",,,
Punjab Communications Ltd,PUNJCOMMU,"Telecom Equipments","37.212933675","0","71.2823193453855","15.94020575428336","0","10060","0",,"0.009980400987560678",,,"0","0","0","4.782275473206158","0","0","0.2481294025524044","0","0",,,
Wall Street Finance Ltd,WSFIN,"Diversified Financials","37.087619","0","62.42670975993363","14.72367306728426","0","4884","0",,"0",,,"0","0","0","0","0","0","0.000864169792080748","0","0",,,
Tantia Constructions Ltd,TANTIACONS,"Construction & Engineering","37.07730642","0","72.88100541581899","17.55344373260435","38.37053926961073","11204","0",,"0",,,"0","0","0","0","0","0","0","0","0",,,
Sacheta Metals Ltd,SACHEMT,"Housewares","37.015389","0","51.07670392171213","41.206033644547134","0","27963","0",,"0",,,"0","0","0","0","0","0","0.010402835426098048","0","0",,,
Felix Industries Ltd,FELIX,"Water Management","36.97518",,"73.13960337718437","15.70783428234832","0","186",,,"0",,,"0","0",,"0","0",,"0","0","0","-4.712350284704496","-3.92695857058708","-1.8849401138817985"
Vikas WSP Ltd,VIKASWSP,"Agro Products","36.799128","0","14.555479466796061","67.6467489664429","8.284549568674562","70204","0",,"0.0048914202532190434",,,"0","0.0005576219088669711","0.0005576219088669711","0.0010467639341888754","-0.2874443111804171","-0.2874443111804171","0.12822711451206126","0","0","0.7040652514185091","0.7040652514185091","0"
Transchem Ltd,TRANSCHEM,"Pharmaceuticals","36.7812","0","49.688300653594766","22.874967320261437","0","13583","0",,"0",,,"0","0.3880718954248366","0.3880718954248366","0.3880718954248366","0","0","0.0326797385620915","4.924624183006529","0",,,
Nippon India Nifty Auto ETF,AUTOBEES,"Equity","36.765885389",,,,,,,,,,,,,,,,,,,,,,
Innovative Tech Pack Ltd,INNOVTEC,"Packaging","36.730275","0","74.36430002225684","22.83318495437347","0","13826","0",,"0.057867794346761633",,,"0","0","0","0","0","0","0.057867794346761633","0","0",,,
Visagar Polytex Ltd,VIVIDHA,"Textiles","36.58756675","0","5.633243224626301","74.82712621221252","0","106762","0",,"0",,,"0","-0.5786354322127749","0.010109308512570053","0.07766846096700322","-0.030748150257901476","-0.030748150257901476","0","0","0","0.37022310318026264","-0.735148983363317","0.007857860621463653"
