Name,Ticker,"Sub-Sector","Market Cap","Working Capital Turnover Ratio","Current Ratio","Net Income / Liabilities","Long Term Debt to Equity","Inventory Turnover Ratio","Earning Power","Debt to Equity","Days of Sales Outstanding","Days Payable Outstanding","Days of Inventory Outstanding","Cash Conversion Cycle","Asset Turnover Ratio","Quick Ratio","Interest Coverage Ratio"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","190671.7199616","16.224413993052714","1.0520582043914504","35.015549877968155","10.443851704022107","3.78761304101178","37.5759598437502","12.752341111452257","4.063617703067935","118.94045024201918","96.36676081949967",,"1.8410717544628503","0.4450377222230757","15.33356528654506"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","184301.0903679","-19.420227585329933","0.8338925454418796","15.17451040982267","34.32751260871505","6.749986448540262","10.249485641241558","43.05466769520425","12.844733003105176","42.31241466849582","54.07418263468279","39.1464557138","0.8891412394805299","0.4034800885451134","10.496265826784903"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","180364.20888253002","791.5904255319149","1.135931608486386","16.154501606460236","86.75398168134882","3.0876842368223834","17.66699748072372","105.31474243042996","14.645962545105128","59.41339670981661","118.21156957928802","26.8732995173","0.8661129993481702","0.5488523222880576","6.98731884057971"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","177044.9879322","2.9637003983934562","1.5985027531239788","8.576993559758266","107.14670887029611","1.374584862786226","8.608275500945961","122.86297684201402","53.860463163629554","799.6133223126484","265.5347151576806","19.7834682801","0.21703767974546215","1.5642736817151626","3.1810610175629193"
NTPC Ltd,NTPC,"Power Generation","164746.35761666","-8.517501484278412","0.760519834039242","6.028503104231359","131.4083422366112","7.789228255133489","7.548512003822275","151.44129604414155","73.67636932098804","45.97238526539174","46.85958454991312","94.7449380519","0.3381285945734804","0.6255341826104637","3.3472846769514293"
Tata Motors Ltd,TATAMTRDVR,"Four Wheelers","151860.114896325",,,,,,,,,,,"-25.1207017777",,,"-0.2934494397425265"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","149775.988491465","4.730291616742394","1.3350547084981914","5.6915335440174415","89.85020042143229","5.016787805327649","8.341519784760587","136.56815648533768","24.155823605329736","108.18209681517843","72.75571823316567","109.3899657841","0.5545773759664916","1.1290471754980118","2.8656191149948733"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","145647.45580032","-2.479832958261773","0.49921090512171196","9.630088566795894","149.81151421699414","0.21663732778561764","11.016468201074076","176.65665579806088","71.29753005859264","1636.4150325700086","1684.8435296487812","406.8229964843","0.18293193951023437","0.468788152781972","3.4401571883298363"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","142689.02263","1.773048004626952","3.935346242205448","92.68457021850034","6.175432455295937","1.4517465956187092","32.21401387956123","8.29614071934891","6.679442849686847","411.2948613376835","251.42128874388254","7.6734625865","0.6782525968782149","3.6148670823761075","49.62068965517241"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","142464.18818835","-56.68456315574972","1.021731465536274","24.28813836847227","43.0923942125285","2.414225834909953","19.71841254249363","64.52804759345256","16.149538585978323","115.52058172703873","151.1871817135177","52.0515859503","0.9355280060910737","0.4827595266481211","10.195355351323638"
Tata Motors Ltd,TATAMOTORS,"Four Wheelers","139054.44975541002","-38.66563784383808","0.9754101347061419",,"212.40369591438454","5.0883595197628795","0.7015254200666378","299.90197062190396","16.279595550702638","138.53108884365673","71.73235275187655","-25.1207017777","0.839857781785941","0.7415391311059303","0.2479042855025781"
Coal India Ltd,COALINDIA,"Mining - Coal","134439.918453505","3.264571370284757","1.6173977621598439","12.799497520489552","7.899795580830472","0.342257296474164","13.463444794307119","8.018927886841656","49.779260367325534","1600.232456364286","1066.4491415088148","171.4384932837","0.667392909164521","1.4941338094552046","44.6135108681601"
HDFC Life Insurance Company Ltd,HDFCLIFE,"Insurance","130981.470679725","-63.85981084246119","0.9048714981519224","0.6168292828165478","3.842870162867243",,"0.6445721757012074","3.842870162867243","0",,,,"0.3308642317049647","0.9048714981519224",
Pidilite Industries Ltd,PIDILITIND,"Diversified Chemicals","127994.7585995","7.1947142795282994","1.727121800578917","41.759085391789625","1.4806266006927566","3.944388305499038","17.44049612716627","6.297963986968791","50.37141619036346","65.10070053297281","92.53652828529538","90.8158726084","1.089037298648636","0.9980602400829234","39.35028517110262"
SBI Life Insurance Company Ltd,SBILIFE,"Insurance","126861.19232436","31.126399733251816","1.4846104811308065","0.5763020130370627","0",,"0.6180473066996046","0","0",,,,"0.33643754131606907","1.4846104811308065",
LTIMindtree Ltd,LTIM,"IT Services & Consulting","126007.38104976","2.819321527480496","3.037933043210088","63.1249141129587","7.567769803748171",,"25.44546826339617","9.472466922893778","55.613898632819755","14299.212962962962","0","44.3181000044","1.3931204779748234","3.037933043210088","43.54670329670333"
Vedanta Ltd,VEDL,"Metals - Diversified","115479.21347742","-3866.6285714285714","1.043553026037466","16.86898321355835","43.9544893961744","4.824971117346097","19.447892256585895","64.78490073271588","11.377593621612036","173.0049684448169","75.64812122663292","80.0865563733","0.7166850694141041","0.825742242783011","7.871794871794871"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","111698.99560953","-13.013560635072903","0.7646981925730333","9.10308127883377","46.11093370552738","5.199717557222646","9.391826304566896","97.70063122263448","9.985741935801205","35.82246066364329","70.19612045908114","40.9262023354","1.549954456569125","0.1825706811929617","8.972799776780533"
