Name,Ticker,"Sub-Sector","Market Cap","1D Change in Put OI","Highest 1D OI Change CE Strike","1 D Change in Call OI","1D Change in Future OI","Highest 1D OI Change PE Strike","1D Change in Future Volume","Highest 1W OI Change CE Strike","1W Change in Future OI","1W Change in Call OI","Percentage Rollover","Rollover Cost","Put Call Ratio","Highest Put OI Strike","Put Open Interest","Call Open Interest","Future Volume","Future Open Interest","Lot Size","Future Close Price","Basis","Fair Value Spread","Fair Value","Calendar Spread","Highest Call OI Strike","Cash & Carry Profit","1W Change in Future Volume","1W Change in Put OI","Highest 1W OI Change PE Strike"
Thermax Limited,THERMAX,"Industrial Machinery","21970.5961117",,,,,,,,,,,,,,,,,,,,,,,,,,,,
L&T Finance Holdings Ltd,L&TFH,"Diversified Financials","21955.57654984","6.80238331678251","98","0.026536312849162","1.5643274853801101","80","-17.24137931034483","99","18.19060773480663","91.30661114003122","2.864","0.73","0.5853061224489796","80","19195524","32795700","16063200","61995028","8924","89.1","0.5","0.12678305256947908","88.97321694743052","0.65","90","1305.56959","-0.297423887587822","96.43835616438356","91"
IPCA Laboratories Ltd,IPCALAB,"Pharmaceuticals","21776.701552029997","3.9215686274509802","900","0.1878172588832487","-2.09762000806776","850","-10.515463917525759","1000","9.461206896551724","387.5","1.659","0.058","0.905982905982906","800","275600","304200","282100","1577550","650","861","2.65","0.5295377103307146","860.4704622896693","0.5","900","-504.81019","-0.5445960125918153","180.79470198675494","830"
Fortis Healthcare Ltd,FORTIS,"Hospitals & Diagnostic Centres","21674.848429079997",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayer Cropscience Ltd,BAYERCROP,"Fertilizers & Agro Chemicals","21589.95628634",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crompton Greaves Consumer Electricals Ltd,CROMPTON,"Home Electronics & Appliances","21543.807482120003","8.49858356940509","365","0.1792260692464358","4.13365483982086","345","-35.81445523193096","330","35.86585365853659","106.04982206405691","2.546","0.5","0.6614853195164075","330","574500","868500","892500","4534500","1500","340.3","1.5","1.0566333379301227","339.2433666620699","1.7","350","221.20766","-0.4866264020707507","56.32653061224491","370"
CRISIL Ltd,CRISIL,"Stock Exchanges & Ratings","21538.54953076",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apollo Tyres Limited,APOLLOTYRE,"Tires & Rubber","21482.28949845","8.196721311475411","315","0.156479217603912","19.56155143338953","270","214.38274071114662","345","6.197969543147208","123.32389046270067","3.396","0.044000000000000004","0.641860465116279","300","5313000","8277500","27541500","14889000","3500","339.65","1.4","1.771288951914869","337.8787110480851","0.15","330","173.83603","5.697021276595745","127.24550898203597","285"
Grindwell Norton Ltd,GRINDWELL,"Industrial Machinery","21256.0256",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sundram Fasteners Ltd,SUNDRMFAST,"Auto Parts","21109.4960502",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bata India Ltd,BATAINDIA,"Footwear","21015.5380654","-0.5941770647653","1620","0.0358744394618835","-0.74240719910011","1600","31.16531165311653","1820","21.170854271356784","159.5505617977528","2.075","0.656","0.6035353535353535","1600","460075","762300","399300","2426600","275","1639.25","4.15","42.50180355369912","1596.7481964463009","10.75","1700","-653.81404","-0.5380209990454979","102.2974607013301","1660"
Bank of Maharashtra Ltd,MAHABANK,"Public Banks","20931.84395017",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devyani International Ltd,DEVYANI,"Restaurants & Cafes","20914.22352208",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinati Organics Ltd,VINATIORGA,"Specialty Chemicals","20726.51429275",,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB Fintech Ltd,POLICYBZR,"Online Services","20702.2038805",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurus Labs Ltd,LAURUSLABS,"Pharmaceuticals","20390.630765875","1.60944206008584","400","0.0232558139534884","-1.21301439746061","375","6.04534005037782","470","5.103406558420885","70.57449789817842","5.343","0.618","0.5186199342825849","350","2083400","4017200","926200","9585400","1100","380.4","1.85","-0.7281052513791337","381.1281052513791","2.35","450","372.66377","-0.7592159309520096","54.612244897959194","410"
Mindspace Business Parks REIT,MINDSPACE,"Real Estate","20155.501969816",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfizer Ltd,PFIZER,"Pharmaceuticals","19996.10491854",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatsun Agro Product Ltd,HATSUN,"FMCG - Foods","19891.4648931",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endurance Technologies Ltd (CN),ENDURANCE,"Auto Parts","19769.45997216",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navin Fluorine International Ltd,NAVINFLUOR,"Specialty Chemicals","19543.79726155","227.09163346613548","4000","0.8886956521739131","0.50485436893203","3900","-64.58157227387997","4500","6.013550135501355","386.9955156950673","1.7840000000000003","0.269","0.7559852670349908","4000","123150","162900","125700","388200","150","3959","15.7","-10.864186127441826","3969.864186127442","10.65","4200","-6.31548","-0.0704381586245147","526.7175572519084","3700"
Whirlpool of India Ltd,WHIRLPOOL,"Home Electronics & Appliances","19184.92377345","25.101214574898776","1560","0.3028953229398663","2.2466039707418997","1400","26.77345537757436","1700","39.770833333333336","503.0927835051546","1.6580000000000001","0.293","0.5282051282051282","1500","108150","204750","193900","684950","350","1519.95","7.8","-1.2457549170192124","1521.1957549170193","4.45","1600","617.16368","-0.3420427553444181","151.21951219512195","1400"
Piramal Enterprises Ltd,PEL,"Diversified Financials","19095.99870897","15.727170236753091","820","0.2102432778489116","0.852189244784","760","28.76125160737248","940","20.72151898734177","113.65280289330919","4.787","0.45599999999999996","0.4344054168429962","800","1129150","2599300","1652200","5662800","550","811","6.85","28.684738552002045","782.315261447998","3.7","900","2001.85784","-0.3936825108487234","78.83275261324042","740"
Sun Tv Network Ltd,SUNTV,"TV Channels & Broadcasters","18990.9378378","19.93127147766322","480","0.2785326086956521","-0.45741324921135","450","-43.42948717948718","530","15.182051282051283","269.0196078431373","1.941","-0.07200000000000001","0.7417640807651434","480","1047000","1411500","1059000","9466500","1500","484","2.1","1.783821844699105","482.2161781553009","-0.35","500","264.30039","-0.2094064949608063","161.4232209737828","470"
Prestige Estates Projects Ltd,PRESTIGE,"Real Estate","18960.7562342",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Five-Star Business Finance Ltd,FIVESTAR,"Consumer Finance","18930.0568164",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kajaria Ceramics Ltd,KAJARIACER,"Building Products - Ceramics","18810.93729425",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Lal PathLabs Ltd,LALPATHLAB,"Hospitals & Diagnostic Centres","18789.86965744","0.88079859072225","2550","0.0604971548367774","0.6426735218509","2100","25.32517214996175","2350","22.49","109.77488151658767","6.578","-2.235","0.4851736797514826","2000","429500","885250","409500","1174500","250","2232.25","-35.05","-3.0830579928401676","2235.33305799284","-49.9","2500",,"-0.2430683918669131","118.29733163913593","1900"
Emami Ltd,EMAMILTD,"FMCG - Personal Products","18651.822",,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRB Infrastructure Developers Ltd,IRB,"Construction & Engineering","18603.1395",,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPIT Technologies Ltd,KPITTECH,"IT Services & Consulting","18457.5413738",,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIFL Finance Ltd,IIFL,"Investment Banking & Brokerage","18452.671092495002",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Dart Express Ltd,BLUEDART,"Logistics","18287.1187338",,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPR Mill Ltd,KPRMILL,"Textiles","18097.34223",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carborundum Universal Ltd,CARBORUNIV,"Industrial Machinery","17592.67070832",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tata Teleservices (Maharashtra) Ltd,TTML,"Telecom Services","17379.30749303",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZF Commercial Vehicle Control Systems India Ltd,ZFCVINDIA,"Auto Parts","17233.4726328",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bharat Dynamics Ltd,BDL,"Aerospace & Defense Equipments","17213.775",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fine Organic Industries Ltd,FINEORG,"Specialty Chemicals","17075.3071338",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trident Ltd,TRIDENT,"Textiles","17046.43002126",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramco Cements Ltd,RAMCOCEM,"Cement","16777.9404419","28.71287128712871","750","0.1566666666666667","-2.54937988056959","660","-43.86617100371747","750","50.12048192771084","1726.3157894736842","2.415","-0.006999999999999999","0.3746397694524496","700","110500","294950","641750","3606550","850","707.05","-3","0.08988686602765483","706.9601131339723","-0.05","720",,"-0.5582211819777647","271.42857142857144","700"
Mazagon Dock Shipbuilders Ltd,MAZDOCK,"Shipbuilding","16425.6336",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gillette India Ltd,GILLETTE,"FMCG - Personal Products","16354.357486215",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICI Securities Ltd,ISEC,"Investment Banking & Brokerage","16143.101198704999",,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIFL Wealth Management Ltd,IIFLWAM,"Asset Management","15926.10742562",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nippon Life India Asset Management Ltd,NAM-INDIA,"Asset Management","15709.68065103",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clean Science and Technology Ltd,CLEAN,"Specialty Chemicals","15659.944436295002",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat State Petronet Ltd,GSPL,"Gas Distribution","15572.2339776",,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTI-Sensex Exchange Traded Fund,UTISENSETF,"Equity","15502.995608939998",,,,,,,,,,,,,,,,,,,,,,,,,,,,
J B Chemicals and Pharmaceuticals Ltd,JBCHEPHARM,"Pharmaceuticals","15425.509576235001",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exide Industries Ltd,EXIDEIND,"Batteries","15351","10.45454545454545","165","0.0665548098434003","1.44381669805397","160","-20.83650190114068","187.5","29.49056603773585","199.37205651491362","18.468999999999998","-0.13699999999999998","0.3822758259045621","180","2624400","6865200","3747600","23270400","3600","182","1.4","1.151345149706799","180.8486548502932","-0.25","190","2444.48716","-0.314680710994075","157.5971731448763","165"
Ajanta Pharma Ltd,AJANTPHARM,"Pharmaceuticals","15263.54971515",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aptus Value Housing Finance India Ltd,APTUS,"Home Financing","15086.690391545002",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rail Vikas Nigam Ltd,RVNL,"Specialized Finance","15022.5698205",,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Aluminium Co Ltd,NATIONALUM,"Metals - Aluminium","15005.281699789999","-0.4233700254022","80","-0.0279803289808376","0.22436616558223002","70","1.71465545131026","84","19.690134321445115","230.7559145989613","3.6130000000000004","-0.488","0.410327983251919","80","17640000","42990000","23580000","67005000","7500","82.05","0.35","82.05",,"-0.4","85","178.83214","0.1021524223515388","160.1769911504425","82"
Suzlon Energy Ltd,SUZLON,"Renewable Energy Equipment & Services","14868.414260075",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redington (India) Ltd,REDINGTON,"Technology Hardware","14700.76542495",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narayana Hrudayalaya Ltd,NH,"Hospitals & Diagnostic Centres","14700.09714074",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratnamani Metals and Tubes Ltd,RATNAMANI,"Building Products - Pipes","14534.27712",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Godrej Industries Ltd,GODREJIND,"Diversified Chemicals","14478.811433570001",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piramal Pharma Ltd,PPLPHARMA,"Pharmaceuticals","14164.690595",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHI Magnesita India Ltd,RHIM,"Cement","14122.598155320002",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alkyl Amines Chemicals Ltd,ALKYLAMINE,"Specialty Chemicals","13834.435928429999",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affle (India) Ltd,AFFLE,"Advertising","13810.1499183",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hitachi Energy India Ltd,POWERINDIA,"Heavy Electrical Equipments","13703.478886125",,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEI Industries Ltd,KEI,"Cables","13700.682294389999",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aavas Financiers Ltd,AAVAS,"Home Financing","13686.85389137",,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJVN Ltd,SJVN,"Renewable Energy","13616.740281375",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CreditAccess Grameen Ltd,CREDITACC,"Consumer Finance","13597.2621704",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radico Khaitan Ltd,RADICO,"Alcoholic Beverages","13549.1728204",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCM Shriram Ltd,DCMSHRIRAM,"Diversified Chemicals","13523.69836217",,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDFC Ltd,IDFC,"Diversified Financials","13433.4511752","11.680630852636769","85","-0.0183281180151989","-1.42908502606506","90","-25.37952510704554","97","27.338501291989665","134.11513859275055","1.577","0.711","1.0318761384335156","75","22660000","21960000","19170000","109670000","10000","84.4","0.4","0.6147540810242305","83.78524591897578","0.6","85","646.62423","0.0153601694915255","116.42788920725881","82"
Indiamart Intermesh Ltd,INDIAMART,"Online Services","13344.070824715","-1.36986301369863","4350","-0.0220588235294117","0.87719298245614","4100","-10.30640668523676","4600","6.244094488188976","167.06827309236948","2.536","-1.967","0.5413533834586466","4000","54000","99750","48300","276000","150","4332.25","-35.8","-15.342078995859993","4347.59207899586","-85.2","4500",,"-0.6891891891891893","94.59459459459461","4500"
KIOCL Ltd,KIOCL,"Iron & Steel","13327.98153528",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajaj Electricals Ltd,BAJAJELEC,"Home Electronics & Appliances","13266.090656175",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capri Global Capital Ltd,CGCL,"Consumer Finance","13227.297327375",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chambal Fertilisers and Chemicals Ltd,CHAMBLFERT,"Fertilizers & Agro Chemicals","13225.44773082","12.35170969993022","335","0.3232901476348297","1.64437623328217","315","-35.33263488737559","300","18.64406779661017","103.0513176144244","8.317","-0.58","0.366575591985428","300","2415000","6588000","3703500","6954000","1500","318.85","1","1.6490343467177695","317.20096565328225","-1.85","320","-403.34016","-0.0489214175654854","56.15906886517943","350"
Nuvoco Vistas Corporation Ltd,NUVOCO,"Cement","13164.77579958",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanofi India Ltd,SANOFI,"Pharmaceuticals","13159.23679836",,,,,,,,,,,,,,,,,,,,,,,,,,,,
City Union Bank Ltd,CUB,"Private Banks","13153.519225","8.431952662721889","185","0.034635224760501","-0.56980056980057","177.5","-17.852161785216182","220","3.665775401069519","98.58557284299859","5.448","0.196","0.5220797720797721","170","3665000","7020000","2945000","8725000","5000","178.8","0.95","0.2585216742568832","178.54147832574313","0.35","190","1200.01262","-0.4191321499013807","87.94871794871794","177.5"
Elgi Equipments Ltd,ELGIEQUIP,"Industrial Machinery","13086.237131939999",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aditya Birla Sun Life Amc Ltd,ABSLAMC,"Asset Management","12952.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahindra CIE Automotive Ltd,MAHINDCIE,"Auto Parts","12896.790886",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakshmi Machine Works Ltd,LAXMIMACH,"Industrial Machinery","12688.786665",,,,,,,,,,,,,,,,,,,,,,,,,,,,
