Name,Ticker,"Sub-Sector","Market Cap","Total Cash Dividend Paid","Net Change in Cash","Change in Working Capital","Free Cash Flow","Operating Cash Flow","Financing Cash Flow","Capital Expenditure","Book Value","Total Liabilities","Total Receivables","Total Assets","Long Term Debt","Investing Cash Flow","Accounts Payable","Additional Paid–in Capital","Share Capital","Cash and Equivalent","Deferred Tax Liabilities (Net)","Deferred Tax Assets (Net)","Long Term Investments","Goodwill & Intangibles","Total Current Assets","Total Current Liabilities","Common Shares Outstanding","Total Debt","Total Deposits – Banks","Total Equity","Total Inventory","Other Liabilities","Reserves & Surplus","Other Assets","Other Current Liabilities","Other Current Assets","Net Property,Plant & Equipment","Loans & Advances","Non Current Liabilties","Non Current Assets","Minority Interest"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1651934.01878253","4297","18781","-3072","10509","110654","17289","100145","888984","609638","23640","1498622","237890","-109162","159330","114796","6765","144296","48601",,"286146","29144","347019","308662","676.5994014","319158",,"888984","107778","14485","657924","65153","149332","71305","771160",,"300976","1151603","109499"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1211548.50011403","13375","5630","-14255","36954","39949","-33581","2995","89846","51078","34074","140924","6368","-738","8816","0","366","48483",,"3118","223","2888","108310","42351","365.9051373","7818",,"89846","20","2359","88773","6770","33535","25733","19615",,"8727","32614","707"
HDFC Bank Ltd,HDFCBANK,"Private Banks","892112.9969638401","3592.4","34113.22","-82740.12000000001","-14195.81","-11959.57","48124.02","2236.24","248046.57999999984","1874887.72",,"2122934.3","226966.5","-2051.23",,"63119.16","554.55","155385.72999999998",,,"449263.86",,"155385.72999999998","1558003.03","554.5540976",,"1558003.03","248046.58",,"89918.19","183652.46","90910.36",,,"6432.07","1420942.28","316884.69","1967548.57","720.41"
Infosys Ltd,INFY,"IT Services & Consulting","618870.75053632","12731","-7242","-9036","21724","23885","-24642","2161","75736","40993","22698","116729","4602","-6485","4565","200","2098","24145",,"56","13651","6353","67185","33603","419.3012929","5474",,"75736","0","2788","73052","9621","29038","20342","19863",,"7390","49544","386"
ICICI Bank Ltd,ICICIBANK,"Private Banks","613335.51096693","1385.23","35555.45","12535.679999999982","56251.46","58111.43","17451","1859.97","188033.3799999999","1568321.7800000003",,"1756355.1600000001","161602.68","-40006.98",,"49764.51","1389.97","183125.99",,,"567097.72",,"183125.99","1091365.79","694.9037464",,"1091365.79","188033.38",,"315353.3100000003","130631.59999999998","75116.57",,,"10706.74","920308.14","476955.9900000003","1573229.1700000002","5980.89"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","607063.89436294","7526","-695","-3784","7820","9048","-8015","1228","49087","21419","2236","70506","741","-1728","8950","40352","235","7365","6130",,"2","45207","15522","11280","234.9591262","1043",,"49087","4096","3268","8474","2196","2330","1825","7579",,"10139","54984","26"
State Bank of India,SBIN,"Public Banks","540028.25602434","3569.84","51198.09","-26639.52","54389.59","57694.85","-3844.51","3305.26","316795.45999999996","5054630.13",,"5371425.59","449159.78","-2652.25",,"79115.47","892.46","398905.12",,,"1776489.9",,"398905.12","4087410.6","892.4611534",,"4087410.6","316795.46",,"518059.74999999953","225580.11000000002","360894.51",,,"41060.06","2794076","967219.5299999996","4972520.47","11207.42"
Housing Development Finance Corporation Ltd,HDFC,"Home Financing","478905.56153624004","4153.26","-373.59999999999854","-45267.21","-46161.67","-44027.92","63541.42","2133.75","192630.33999999997","773599.6099999999","368.76","966229.9499999998","477122.92","-19887.1","3810.72","49741.22","362.61","2629.45",,"1446.9","352483.57","5617.62","35595.21","296476.69","181.3028276","507459.52999999997",,"192630.34","0","-1.1641532182693481e-10","129442.29000000001","0","292665.97000000003","32597","7166.330000000001","563920.32","477122.91999999987","930634.7399999999","12777.19"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","465889.4401994","1443.8","-1664.2999999999993","-3622.6000000000004","27616.699999999997","55016.6","-15203.2","27399.9","91935","269272.20000000007","4056.2","361207.20000000007","142591.19999999998","-41477.7","37461","58175.5","2795","14355.699999999999",,"17476.199999999997","28487.7","120396.7","52027.899999999994","114026.00000000001","588.431493","169677.9",,"91935","375","12655.000000000058","5583.800000000003","13177.4","76565.00000000001","33241","129641.30000000003",,"155246.20000000004","309179.30000000005","25380.7"
Life Insurance Corporation Of India,LICI,"Insurance","460333.33267877996","0","8748.36","-3782.54","-4499.48","-3782.54","0","716.94","11458.669999999925","4242600.25","0","4254058.92","1.29","12530.9","6763.5","2.1","6325","44724.34",,,"3926212.47","0","198843.85","71522.56","632.49977","1.29",,"11458.67","0","4171076.4000000004","5011.23","111033.88","64759.06","154119.51","17968.719999999998","0","4171077.6900000004","4055215.0700000003","120.34"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","436597.62932058","109.98","246.08000000000175","-2736.8399999999992","-10262.199999999999","1385.28","15901.42","11647.48","26928.369999999995","74657.99","13712.19","101586.36","21320.050000000003","-17040.62","18277.24","2517.85","109.98","3978.88","2432.4399999999996",,"4229.19","300.92","30945.39","43849.780000000006","109.9810083","41604.03",,"26928.37","6788.28","7055.72","17811.56","12744.59","25572.540000000005","6466.040000000001","53366.270000000004",,"30808.210000000003","70640.97","4671.86"
ITC Ltd,ITC,"FMCG - Tobacco","413888.443638345","13788.32","-43.47999999999956","-5081.5","13633.87","15775.51","-13580.5","2141.64","62821.87","14374.149999999987","2461.9","77196.01999999999","198.51999999999998","-2238.49","4417.26","9959.31","1232.33","16918.7","1609.94",,"12576.73","2700.85","34232.45","12163.710000000001","1232.3255931","249.44",,"62821.87","10864.15","401.97999999998547","51263.93","2929.71","7746.450000000001","3987.7","24756.28",,"2210.4399999999855","42963.57","366.3"
Adani Total Gas Ltd,ATGL,"Gas Distribution","399637.98985971","27.5","20.90000000000009","-45.49000000000001","-214.89","735.72","421.77","950.61","2416.23","1999.02","186.55","4415.25","388.15000000000003","-1136.59","259.83","0","109.98","34.32","136.81",,"633.92","25.49","361.68999999999994","1464.13","109.9810083","1035.16",,"2416.23","76.78","9.93","2306.25","516.14","1204.3000000000002","64.03999999999999","2878.01",,"534.89","4053.56","0"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","368509.30558332003","602.63","1557.8399999999965","-52712.35999999999","-37662.79","-37028.62","32239.62","634.17","43712.69","168792.66999999998","1265.89","212505.36","153068.59","6346.84","1169.32","17217.77","120.66","3680.3",,"951.1099999999999","12245.54","3.27","6135.02","15724.080000000002","60.3279841","165231.91999999998",,"43712.69","0","0","26374.26","0","14554.760000000002","1188.8300000000002","1747.17","191423.25","153068.59","206370.34","0"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","362046.16158597","218.96","4948.859999999999","-7767.610000000001","7748.219999999999","8417.99","7548.91","669.77","97165.34000000003","449550.08",,"546715.42","55148.27","-11018.04",,"25033.97","1492.33","52665.49",,,"164529.41",,"52665.49","310086.89","198.466176",,"310086.89","97165.34",,"84314.92000000001","70607.73","22323.54",,,"2723.38","304473.6","139463.19","494049.93","0"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","294630.040908","0","383","-485","-11732","3060","15986","14792","2613.9999999999995","56340","1809","58954","43303","-18663","1060","0","1564","2094",,"349","73","3","5567","11513","156.401428","52832",,"2614","17","1524","-374","4614","10453","1647","48348",,"44827","53387","0"
Larsen & Toubro Ltd,LT,"Construction & Engineering","293348.681049345","2528.38","396.72000000000116","204.4999999999991","16052.95","19163.58","-15181.48","3110.63","95589.37999999995","223420.21000000002","46138.92","319009.58999999997","63035.97000000001","-3585.38","50979.72","8718.74","496.66","48745.67999999999",,"1800.7699999999995","9810.86","23681.969999999998","208181.16999999998","159433.53","140.5029123","125292.43",,"95589.37999999998","5943.32","950.71","73407.90999999999","55230.42","108453.81","107353.25","20304.400000000012",,"63986.68000000001","110828.42000000001","12966.07"
Axis Bank Ltd,AXISBANK,"Private Banks","292010.392901185","0","48919.15","-2274.7000000000053","26728.329999999998","28137.3","47894.08","1408.97","118522.01000000001","1077204.29",,"1195726.3","199778.16","-27112.23",,"51547.87","613.95","112343.51000000001",,,"274608.13",,"112343.51000000001","820914.16","306.9747836",,"820914.16","118522.01000000002",,"56511.97","65948.07","78680.8",,,"4968.36","725125.5","256290.13","1083382.79","261.35"
Asian Paints Ltd,ASIANPAINT,"Paints","288069.134756985","1762.8","-1137.87","-3970.9100000000003","448.25","986.49","-1807.61","538.24","14199.089999999998","8759.339999999997","3871.44","22958.429999999997","642.9100000000001","-316.75","4252.63","0","95.92","3045.0299999999997","322.83000000000004",,"1066.83","342.54","15152.329999999998","7570.990000000001","95.919779","1586.88",,"14199.09","6152.98","222.60999999999638","13715.64","793.78","3318.3600000000006","2082.88","5602.95",,"1188.3499999999965","7806.099999999999","387.53"
Adani Transmission Ltd,ADANITRANS,"Power Infrastructure","284913.56362844503","0","-74.63000000000045","-831.0400000000001","-94.25","4096.61","-234.86","4190.86","11006.5","36457.60999999999","1070.84","47464.10999999999","27840.160000000003","-3936.38","2252.73","0","1099.81","1788.92","1414.46",,"264.17","1631.25","4518.6","5656.679999999999","109.9810083","29901.79",,"11006.5","250.11","1546.3099999999927","5757.36","7349.41","3403.9499999999994","1408.73","33700.68",,"30800.929999999997","42945.509999999995","1093.68"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","282673.90147336","11391","3989","-3992","15255","16900","-14508","1645","62006","26915","20671","88921","5582","1597","6901","7","543","18875",,"1064","112","22471","48041","18775","271.3665096","6343",,"62006","161","2558","61364","4498","11874","8334","12735",,"8140","40880","92"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","255592.9595666","1359.4","-5.7000000000000455","-3991.3999999999996","-1618.8000000000002","1840.5","-1607","3459.3","55333.5","19322.000000000004","2034.5","74655.5","32.90000000000002","-239.2","10566.1","424.1","151","7142.3",,"141.09999999999997","37934.6","0","16793.399999999998","17023.500000000004","30.208006","425.5",,"55333.5","3532.3","2265.6","54758.4","3102.7","6457.400000000003","4084.2999999999997","16683.7",,"2298.5","57862.1","0"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","249898.52029398","0","-96.38000000000011","-1142.74","-1038.0700000000002","1372.35","-179.24","2410.42","13677.890000000001","1793.0900000000001","66.89","15470.980000000001","507.1500000000001","-1289.49","761.21","5994.57","647.77","304.51","62.37",,"0.01","78.28","3442.85","1218.29","64.7774691","646.94",,"13677.890000000001","2742.66","5.28","7035.300000000001","1638.76","457.0799999999999","328.79","10311.08",,"574.8000000000001","12028.130000000001","0.25"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","243820.4196514","2169.19","-1764.7799999999988","2528.2700000000004","7489.500000000001","8984.54","-5193.46","1495.04","51066.11","18701.899999999998","10592.89","69768.01","481.7099999999999","-5555.86","5079.37","1187.41","239.93","12667.29",,"2864.8600000000006","5214.65","11891.39","35014.979999999996","17200.55","239.933497","1290.3",,"51066.11","8996.81","1019.64","46583.88","2926.98","12121.18","2757.99","11855.150000000001",,"1501.35","34753.03","3054.89"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","233585.258578825","400.3","101.20000000000073","-45892.28","-34579.79","-33669.99","32325.76","909.8","66319.91999999998","267093.29","3004.81","333413.20999999996","149015.84999999998","1445.43","4008.94","9611.93","79.57","4403.03",,"645.42","119222.08","689.34","17994.18","118077.44","159.135633591667","161179.17999999996",,"66319.92","0","0","30555.300000000003","0","114068.5","10586.34","3009.0499999999997","191853.14","149015.84999999998","315419.02999999997","26073.12"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","227459.6920536","355","38","-4022","-948","-724","-403","224","9333","11855","565","21188","1140","1165","1322","141","89","1588",,"181","279","311","17454","10512","88.778616","7275",,"9333","13609","203","9073","645","9190","1692","2318",,"1343","3734","30"
Wipro Ltd,WIPRO,"IT Services & Consulting","211834.91743857","660.2","-6582.999999999998","-6217.4","9064.400000000001","11079.7","4658.6","2015.3","65454.5","41821.100000000006","11521.9","107275.6","7164.000000000002","-22321.3","6252.2","163.7","1096.4","34549.1","984.3",,"1988.3","24286.1","62075.200000000004","30832.9","548.2070115","17592.9",,"65454.5","133.4","2839.9","64142.9","3621","24580.7","15870.800000000001","15305",,"10988.200000000003","45200.4","51.5"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","202000.7207218","1065","-958.1500000000015","-2027.9100000000003","3603.6499999999996","9283.24","-12497.93","5679.59","50432.21000000001","33379.229999999996","3071.61","83811.44","6281.200000000001","2256.54","6553.43","5477.1","288.67","5322.52","6016.89",,"1372.43","6250.21","17479.940000000002","20155.19","28.8670847","11298.8",,"50432.21000000001","5595.58","925.95","44669.5","4686.83","13601.759999999998","3490.23","54022.030000000006",,"13224.04","66331.5","-3.06"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","190671.7199616","1928.31","-1704.3000000000002","-880.84","1536.5499999999997","2271.37","-2018.63","734.82","2084.4799999999996","6125.450000000001","165.27","8209.93","217.7","-1957.04","1889.66","0","96.42","798.6899999999999",,"25.840000000000003","710.7","0","2738.7599999999998","2603.2400000000002","9.6415716","265.82",,"2084.48","1580.22","3304.51","1988.06","1494.43","713.5800000000002","194.57999999999998","3240.2000000000003",,"3522.21","5471.170000000001",
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","184301.0903679","12923.83","1676.1499999999942","-9824.419999999998","44542.91999999999","78000.04","-35979.08","33457.12","283327.84","299990.6999999999","19187.28","583318.5399999999","97259.40000000001","-40344.81","46475.23","0","6290.14","12212.46","34934.42",,"61270.61","11818.323999999999","107256.45999999999","128621.44","1258.028","121985.86",,"283327.84","55360.27","39175.43999999987","253212.77","53670.07","82146.20999999999","20496.45","349303.07599999994",,"171369.2599999999","476062.07999999996","23824.93"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","180364.20888253002","1571","-3135","-12643","16179","26270","-14657","10091","68564","127921","7457","196485","59482","-14748","15933","5417","330","17391","7621",,"4932","140","65374","57551","301.6603583","72208",,"68564","33787","3267","61579","9394","41618","6739","116645",,"70370","131111","1238"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","177044.9879322","1026.65","4418.829999999999","-174.91999999999996","6051.049999999999","9800.22","2041.53","3749.17","38758.119999999995","55125.26000000001","2469.68","93883.38","41528.05","-7422.92","1870.8","6151.66","704.35","10539.880000000001","1212.96",,"5913.33","11020.08","17801.63","11136.439999999999","211.237323","47619.38",,"38758.119999999995","381.19","1247.8100000000145","31509.34","9371.65","9265.64","4410.88","49776.69",,"43988.820000000014","76081.75","392.77"
NTPC Ltd,NTPC,"Power Generation","164746.35761666","7106.93","-221.5699999999997","-158.94999999999982","17343.810000000005","41788.23","-19171.56","24444.42","139134.15000000002","276617.59","27342.08","415751.74000000005","182833.88","-22838.24","11277.32","0","9696.67","4458.08","9955.970000000001",,"10626.24","329.87","58425.40000000001","76822.98000000001","969.6666134","210706.56",,"139134.15000000002","10370","7004.76","125677.07","30650.82","65545.66","16255.240000000002","315719.41000000003",,"199794.61000000002","357326.34","3760.41"
Tata Motors Ltd,TATAMTRDVR,"Four Wheelers","151860.114896325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","149775.988491465","1037.46","112.99999999999909","-1267.1599999999999","3207.749999999999","9247.55","-5882.6","6039.8","56825.26000000001","115563.22999999998","6373.95","172388.49","51057.61","-3251.95","17465.86","2649.46","556.06","21967.489999999998","61.789999999999964",,"19210.55","3807.85","75148","56288.33","111.2130815","77605.21",,"56825.26","11595.82","8155.499999999971","43917.12","45308.64","38822.47","35210.740000000005","28913.450000000004",,"59274.89999999997","97240.49","9702.62"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","145647.45580032","10811.96","-2090.6299999999974","-10070.3","18157.3","26123.52","-28966.94","7966.22","76247.13","174703.17","9475.07","250950.30000000002","114226.98","752.79","1247.89","7834.43","6975.45","5048.18","11356.98",,"3787.64","1713.92","22382.71","44836.18","697.5452864","134695.63",,"76247.12999999999","1364.04","4283.030000000029","61437.24999999999","20153.51","43588.29","6495.419999999998","202912.52",,"129866.99000000002","228567.59000000003","0"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","142689.02263","7606","1279","-3589","9723","12691","-12258","2968","34281","10389","716","44670","2117","846","3254","0","845","20815","942",,"0","0","23982","6094","422.5319","2844",,"34281","1953","1236","33436","1217","2840","498","19471",,"4295","20688","0"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","142464.18818835","3020.12","10074.880000000001","-21519.4","33858.78999999999","44380.99","-23401.09","10522.2","117098.46000000002","165323.20999999996","12246.43","282421.67","50460.53","-10905.02","36764.87","31286.73","1221.21","24423.35","9301.85",,"4615.43","4339.67","92556.61","90588.00000000001","1221.520033474786","75561.35",,"117098.46","48824.39","14972.829999999942","81935.1","29916.25","53823.13000000001","7062.4400000000005","150993.71",,"74735.20999999993","189865.06","2655.42"
Tata Motors Ltd,TATAMOTORS,"Four Wheelers","139054.44975541002","99.92","6459","-12383.34","-885.5900000000001","14282.83","-3380.17","15168.42","48832.29999999999","280229.19","12442.12","329061.49","103721.61","-4443.66","64382.91","14137.14","765.88","63378.41",,"2312.41","6670.31","48877.259999999995","146977.53999999998","150682.81","332.0912007","146449.03",,"48832.299999999996","35240.34","25824.77","29658.22","23994.69","86299.9","35916.67","100229.28000000001",,"129546.38","182083.95","4271.06"
Coal India Ltd,COALINDIA,"Mining - Coal","134439.918453505","10783.37","1165.2400000000034","11163.900000000001","29064.32","41087.51","-13441.24","12023.19","43816.82999999996","135615.48000000004","11367.68","179432.31","3461.44","-26481.03","12348.9","0","6162.73","36458.86",,"3327.07","2426.97","0","92842.95","57402.67","616.2728327","3513.64",,"43816.829999999994","7075.68","74751.37000000002","36980.31","21261.22","45053.77","37940.729999999996","59574.09999999999",,"78212.81000000003","86589.36","673.79"
HDFC Life Insurance Company Ltd,HDFCLIFE,"Insurance","130981.470679725","0","4124.84","5942.54","5885.9","5942.54","-238.19","56.64","15613.329999999989","215121.11000000002","0","230734.44","600","-1579.51","3095.78","6556.56","2112.62","1375.15",,,"216550.64","5614.157","6286.83","6947.76","211.26192","600",,"15613.329999999998","0","207573.35","6940.829999999999","1271.93","3851.98","4911.68","1010.8829999999998","0","208173.35","224447.61000000002","0"
Pidilite Industries Ltd,PIDILITIND,"Diversified Chemicals","127994.7585995","431.85","-70.72999999999996","-972.37","580.63","955.37","-467.96","374.74","6602.609999999999","2891.7300000000005","1430.54","9494.34","97.76000000000002","-558.14","1051.62","46.51","50.83","528.69","377.17",,"285.09","2924.06","4015.6099999999997","2325.03","50.8288415","415.83000000000004",,"6602.61","1695.09","91.77","6306.37","264.96","1273.4100000000003","361.29","2004.6200000000003",,"566.7","5478.7300000000005","198.9"
SBI Life Insurance Company Ltd,SBILIFE,"Insurance","126861.19232436","250.01","9.9200000000003","21851.940000000002","21785.19","21851.94","-231.01","66.75","11622.310000000027","261319.58","0","272941.89","0","-21611.01","1014.41","22.79","1000.37","3204.22",,,"264436.68","0","7615.74","5129.79","100.0370562","0",,"11622.31","0","256189.78999999998","10599.15","362.69","4115.38","4411.52","526.78","0","256189.78999999998","265326.15",
LTIMindtree Ltd,LTIM,"IT Services & Consulting","126007.38104976","874.9","-364.5","-1765.5","793","1652","-1045.8","859","8820.300000000001","3638.5","2833.5","12458.800000000001","667.5","-970.7","802.8","314.8","17.5","3913.8999999999996",,"44.39999999999998","345.4","794.1","8865.6","2918.3","17.4750608","835.5",,"8820.300000000001","0","52.7","8482.300000000001","624.4","2115.5","2118.2000000000003","1784.9",,"720.2","3593.2000000000003","5.7"
Vedanta Ltd,VEDL,"Metals - Diversified","115479.21347742","19349","3817","-10502","24333","34963","-28903","10630","82706","111459","4946","194165","36353","-2243","32529","19009","374","32732",,"650","151","130","68575","65713","372","53581",,"82706","14313","9393","46002","15444","33184","16584","109215",,"45746","125590","17321"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","111698.99560953","10896.04","395.40000000000236","-21496.940000000002","19632.590000000004","24570.33","-2997.29","4937.74","135126.64999999997","275755.3100000001","18700.42","410881.9600000001","62308.16000000001","-21177.64","56606.78","76.74","9181.04","9833.34","15354.369999999999",,"44338.76","3602.63","147117.80000000002","192386.75","1377.1560699","132019.59000000003",,"135126.65","111993.62","5706.030000000116","124277.4","11441.78","135779.97","6590.419999999999","204380.99",,"83368.56000000013","263764.16000000003","1591.47"
Grasim Industries Ltd,GRASIM,"Cement","111566.07137088","1065.5","-748.0400000000009","-14370.31","-1550.0300000000007","7037.65","-6733.14","8587.68","116185.90000000002","172962.89","5429.36","289148.79000000004","47854.15","-1052.55","11382","27229.59","142.86","21997.36","8280.630000000001",,"78021.31","21763.3","56758.16","57884.47","65.8295426","74733",,"116185.9","9536.42","58943.64","48333.97","58758.08","46502.47","19795.02","73847.93999999999",,"115078.42","232390.63","40476.48"
Adani Power Ltd,ADANIPOWER,"Power Generation","111369.111921375","0","669.3299999999981","80.27000000000007","6798.179999999999","10232.73","-10337.86","3434.55","18857.869999999995","63123.15000000002","9560.92","81981.02000000002","37811.25","774.46","3312.35","7409.83","4257.92","2547.92","2499.7800000000007",,"0.01","190.61","16228.07","17143.67","385.6938941","48744.00000000001",,"18857.870000000003","2258.27","5668.450000000029","-7797.8099999999995","2208.99","13831.319999999998","1860.96","63353.340000000004",,"45979.480000000025","65752.95000000001","0"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","104300.71365089","667","3300","-12888","11412","16838","-6765","5426","78202","143653","21076","221855","52607","-6773","42462","8234","222","22844","4424",,"8667","26255","98543","77273","222.4020885","64486",,"78202","44483","9349","69731","2826","34811","10140","85564",,"66380","123312","11"
Ambuja Cements Ltd,AMBUJACEM,"Cement","104196.733391775","333.42","2786.46","-979.0200000000001","2975.06","5309.16","-515.76","2334.1","32498.769999999997","12705.60000000001","645.83","45204.37","406.02","-2006.94","3317.85","12471.16","397.13","11694.29","753.28",,"198.11","7869.87","17022.42","11227.890000000001","198.5645229","476.57",,"32498.769999999997","2738.04","318.4100000000073","12485.45","3533.9","7910.040000000001","1944.2600000000002","16580.070000000003",,"1477.7100000000073","28181.950000000004","7145.03"
Britannia Industries Ltd,BRITANNIA,"FMCG - Foods","103891.31343072","2484.88","-32.13000000000011","-914.16","749.34","1299.52","-2245.84","550.18","2585.6000000000004","4929.119999999999","331.93","7514.719999999999","720.7499999999999","914.19","1349.64","244.98","24.09","1018.63",,"50.86","928.64","139.64000000000001","3970.42","4155.73","24.0868296","2481.2",,"2585.6000000000004","1367.49","52.64","2289.03","275.91","2806.0899999999992","1252.37","2149.25",,"773.3899999999999","3544.2999999999997","27.5"
Siemens Ltd,SIEMENS,"Conglomerates","103103.9362276","249.3","-1469.0000000000002","-139.60000000000008","1304.3999999999999","1422.1","-501.8","117.7","10357.099999999999","7600.500000000004","3683","17957.600000000002","0","-2389.3","3679.4","156.7","71.2","5159.1",,"47.30000000000001","0","1334.8","13152.2","6784.5","35.6120255","4.1",,"10357.099999999999","1796.9","816.0000000000036","10121.099999999999","1518.3","3105.1","2513.2000000000003","1905.0000000000002",,"816.0000000000036","4805.400000000001","8.1"
Bajaj Auto Ltd,BAJAJ-AUTO,"Two Wheelers","102463.10369217","4048.98","417.0799999999999","-1102.61","3646.46","4197.21","-4056.33","550.75","29859.659999999996","5251.55","1516.38","35111.21","122.77","276.2","3632.15","0","289.37","5927.1900000000005","402.68",,"21664.99","25.32","10365.61","4688.5","28.936702","122.77",,"29859.659999999996","1230.51","37.6","29570.28","1167.35","1056.35","1691.53","1887.9400000000003",,"563.0500000000001","24745.6","0.01"
Dabur India Ltd,DABUR,"FMCG - Personal Products","101477.7524006","972.32","38.38999999999987","-484.38","1428.1999999999998","1802.33","-490.49","374.13","8421.849999999999","3862.010000000002","646.15","12283.86","389.94000000000005","-1273.45","2054.68","380.59","176.79","1424.6999999999998","81.6",,"5365.06","269.28000000000003","4316.54","3322.54","176.7856483","1030.1",,"8421.849999999999","1911.37","67.93000000000183","7823.92","126.86","1267.8600000000001","334.32000000000005","2206.12",,"539.4700000000018","7967.320000000001","40.55"
Tech Mahindra Ltd,TECHM,"IT Services & Consulting","98512.345756945","3981.3","1098.5","-3748","4326.900000000001","5285.3","-4666.6","958.4","27381.1","17034.4","11933.4","44415.5","862","479.8","4185.2","1284","438.8","8410.4",,"363.90000000000003","447.9","8227.1","24455.7","12504.8","87.759785","2618.4",,"27381.1","40.5","3667.6","25161.8","4199.3","8319.599999999999","4071.4","6721.6",,"4529.6","19959.800000000003","495.4"
Bank of Baroda Ltd,BANKBARODA,"Public Banks","95178.920904495","0","1567.47","-21129.00000000001","3126.8","6531.93","-1319.39","3405.13","92625.8600000001","1250478.4",,"1343104.26","109526.11","-3645.07",,"31430.95","1035.53","130228.6",,,"347587.1",,"130228.6","1075804.44","518.5029679",,"1075804.44","92625.86",,"65147.850000000006","59401.600000000006","56908.78",,,"11098.84","797280.94","174673.96000000002","1212875.66","757.78"
Indusind Bank Ltd,INDUSINDBK,"Private Banks","94278.83812474","386.99","11974.83","2832.700000000001","16257.89","16672.19","-4302.15","414.3","48026.380000000005","354306.13",,"402332.51","47323.22","-395.21",,"18444.02","774.66","68584.7",,,"70929.89",,"68584.7","293349.47","77.4663163",,"293349.47","48026.38",,"13633.44000000005","28791.63","21837.64",,,"1928.75","239051.53","60956.66000000005","333747.81","0"
Godrej Consumer Products Ltd,GODREJCP,"FMCG - Personal Products","93730.0258947","0","226.78999999999996","-983.71","1174.05","1450.57","-379.52","276.52","11555.93","4526.190000000001","1116.32","16082.12","445.2899999999999","-844.26","2163.06","1424.93","102.26","1952.08",,"679.5699999999999","171.12","7817.43","5687.27","3971.6099999999997","102.2581079","1704.34",,"11555.93","2129.85","109.29000000000183","10028.74","208.42","1808.5499999999997","489.02","1518.3099999999995",,"554.5800000000017","10394.85","0"
DLF Ltd,DLF,"Real Estate","92267.24384115","496.86","-729.3899999999999","973.7699999999999","2683.3900000000003","2831.82","-3828.19","148.43","36381.75","14785.109999999997","563.6","51166.86","2398.68","266.98","1528.73","25071.15","495.06","1174.68","805.02",,"19536.42","944.2534","24090.87","10403.850000000002","247.5311706","4181.84",,"36381.75","20106.99","1177.5599999999947","10796.07","2596.12","8875.120000000003","2245.6","3999.1965999999998",,"4381.259999999995","27075.989999999998","19.47"
Divi's Laboratories Ltd,DIVISLAB,"Labs & Life Sciences Services","91901.2403673","530.94","-815.5600000000002","-2011.43","1198.6","1911.8","-532.44","713.2","11728.18","1632.0600000000018","2423.88","13360.240000000002","2.87","-2194.92","851.13","79.88","53.09","2818.88","406.93",,"72.01","0","8351.5","1195.55","26.546858","3.69",,"11728.18","2828.62","26.71000000000182","11595.210000000001","141.75","344.41999999999996","280.12","4794.9800000000005",,"436.5100000000018","5008.740000000001","0"
Eicher Motors Ltd,EICHERMOT,"Trucks & Buses","89083.6699044","464.67","-49.57000000000005","-663.87","886.2099999999999","1527.04","-593.36","640.83","12608","3592.990000000002","302.04","16200.990000000002","35.31999999999999","-983.25","1861.06","241.05","27.34","3147.16","220.06",,"7295.89","0","5619.34","2983.36","27.3423102","107.71",,"12608","1132.4","354.2500000000018","12339.61","356.7","1122.3000000000002","1037.74","2929.0599999999995",,"609.6300000000018","10581.650000000001","0"
