Name,Ticker,"Sub-Sector","Market Cap","Total Cash Dividend Paid","Net Change in Cash","Change in Working Capital","Free Cash Flow","Operating Cash Flow","Financing Cash Flow","Capital Expenditure","Book Value","Total Liabilities","Total Receivables","Total Assets","Long Term Debt","Investing Cash Flow","Accounts Payable","Additional Paid–in Capital","Share Capital","Cash and Equivalent","Deferred Tax Liabilities (Net)","Deferred Tax Assets (Net)","Long Term Investments","Goodwill & Intangibles","Total Current Assets","Total Current Liabilities","Common Shares Outstanding","Total Debt","Total Deposits – Banks","Total Equity","Total Inventory","Other Liabilities","Reserves & Surplus","Other Assets","Other Current Liabilities","Other Current Assets","Net Property,Plant & Equipment","Loans & Advances","Non Current Liabilties","Non Current Assets","Minority Interest"
Indoco Remedies Ltd,INDOCO,"Pharmaceuticals","3656.5260864","13.79","8.050000000000018","-149.85999999999999","48.51000000000002","173.83","-44.37","125.32","904.64","581.4499999999999","297.24","1486.09","106.85000000000002","-121.41","133.29","64.21","18.43","19.77","10.600000000000001",,"0.02","1.072","773.6199999999999","424.8599999999999","9.2150355","256.67",,"904.64","310.52","39.14000000000001","822","35.82","291.56999999999994","146.08999999999997","675.558",,"156.59000000000003","712.47","0"
Tarsons Products Ltd,TARSONS,"Health Care Equipment & Supplies","3643.832154285","0","75.12","-75.18","-48.5","83.47","129.58","131.97","489.83000000000004","54.400000000000006","65.18","544.23","9.400000000000002","-137.93","13.15","145.91","10.64","85.82","4.359999999999999",,"0","0","244.52","34.91","5.3206281","21.67",,"489.83","82.37","5.730000000000009","333.28","78.67","21.759999999999998","11.15","221.04",,"19.49000000000001","299.71","0"
Tinplate Company of India Ltd,TINPLATE,"Iron & Steel","3636.15374412","20.93","49.75999999999999","-67.39999999999999","368.28999999999996","453.88","-30.69","85.59","1170.9700000000003","809.7999999999997","52.91","1980.77","10.26","-373.43","444.11","294.84","104.8","676.13","37.98",,"0","0","1340.56","673.02","10.4798038","11.84",,"1170.9700000000003","428.16","88.53999999999976","771.3300000000002","30.23","228.90999999999997","183.36","609.98",,"136.77999999999975","640.21",
West Coast Paper Mills Ltd,WSTCSTPAPR,"Paper Products","3634.01598","12.13","6.809999999999945","-52.46000000000001","527.6999999999999","590.56","-294.73","62.86","2035.0400000000002","1223.56","242.29","3258.6","262.88000000000005","-289.02","275.44","145.73","13.21","393.14","25.27000000000001",,"138.93","291.9296","1287.16","788.8900000000001","6.6048908","478.34000000000003",,"2035.04","395.78","146.51999999999978","1524.49","53.83","513.45","255.95000000000002","1486.7504",,"434.66999999999985","1971.4399999999998","348.83"
Harsha Engineers International Ltd,HARSHA,"Industrial Machinery","3613.995747975","0","-11.629999999999999","-152.51000000000002","-13.060000000000002","36.47","3.73","49.53","521.86","636.4000000000002","282.75","1158.2600000000002","143.35999999999999","-51.83","182.79","0.75","77.25","45.73","3.95",,"0.04","71.056","780.0300000000001","475.84000000000003","7.724841","384.86",,"521.86","375.72","13.250000000000218","443.86","20.39","293.05000000000007","75.83","286.7440000000001",,"160.5600000000002","378.2300000000001","0"
Jindal SAW Ltd,JINDALSAW,"Building Products - Pipes","3611.8372809300004","63.07","-55.28999999999999","-1387.4699999999998","-380.02","73.47","61","453.49","6849.140000000001","9594.08","1805.77","16443.22","2054.71","-189.76","1576.21","642.34","63.95","682.88","222.22000000000003",,"213.17","0","7323.6900000000005","7138.84","31.9761367","6031.200000000001",,"6849.139999999999","3755.51","178.31","6657.889999999999","1256.51","5562.63","1079.5300000000002","7649.85",,"2455.2400000000002","9119.53","-515.04"
PC Jeweller Ltd,PCJEWELLER,"Precious Metals, Jewellery & Watches","3595.2450966","0","-34.3900000000001","-713.62","-723.09","-719.38","570.05","3.71","3888.73","3656.34","1433.87","7545.07","77.77","114.94","16.37","1068.95","465.4","62.940000000000005",,"159.61","0","0.69","7219.7699999999995","3574.1200000000003","46.5403896","3390.61",,"3888.73","5666.76","4.45","2354.38","44.83","3557.7500000000005","56.19999999999999","120.17000000000002",,"82.22","325.3","0"
Nava Limited,NAVA,"Iron & Steel","3581.08374584","36.08","-19.180000000000064","-1029.76","545.49","608.17","-415","62.68","5676.24","5024.700000000001","1074.99","10700.94","1860.9500000000003","-212.35","87.97","84.78","29.03","839.88","379.99",,"31.22",,"2541.23","2263.06","14.5100638","3586.92",,"5676.240000000001","370.67","520.7000000000003","4839.43","2565.57","2175.09","255.69","5562.920000000001",,"2761.640000000001","8159.710000000001","723"
Mahindra Logistics Ltd,MAHLOG,"Logistics","3520.25817426","17.94","-65.62000000000002","-13.770000000000003","94.97999999999999","200.63","-116.48","105.65","590.6499999999999","1340.34","479.42","1930.9899999999998","267.33","-149.77","862.5","120.16","71.87","248.23000000000002",,"26.849999999999998","0","4.33","1232.12","1056.56","7.1871618","399.46999999999997",,"590.65","1.43","16.45","398.2800000000001","172.81","194.05999999999995","503.03999999999996","494.87999999999994",,"283.78","698.87","0.28"
Authum Investment & Infrastructure Ltd,AIIL,"Diversified Financials","3513.2458935","0","27.56000000000006","-160.63","260.83000000000004","261.6","336.22","0.77","3121.3","897.7699999999995","6.49","4019.0699999999997","216.82999999999998","-570.26","0","661.89","16.98","542.14",,,"3185.72","0","657.64","680.9200000000001","16.98451","871.27",,"3121.3","0","0.019999999999527063","2442.4300000000003","10.12","680.9200000000001","109.01","142.26000000000002","23.33","216.8499999999995","3361.43",
JTEKT India Ltd,JTEKTINDIA,"Auto Parts","3509.5171324949997","4.69","-3.710000000000008","-24.1","-14.070000000000007","107.52","14.39","121.59","661.27","338.78","241.67","1000.05","38.349999999999994","-125.62","216.95","80.71","24.45","80.39",,"8.1","0","13.7701","485.68","289.83","24.4480469","70.99",,"661.27","146.07","10.6","526.67","10.83","72.88","17.549999999999997","481.6699",,"48.949999999999996","514.37","29.44"
